Time(s),TotalLungVolume(L),TidalVolume(mL),OxygenSaturation,CardiacOutput(L/min),HeartRate(1/min),HeartStrokeVolume(mL),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),RespirationRate(1/min),EndTidalCarbonDioxideFraction,ArterialBloodPH,Aorta-Oxygen-PartialPressure(mmHg),Aorta-CarbonDioxide-PartialPressure(mmHg)
0.02,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.04,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.06,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.08,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.10,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.12,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.14,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.16,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.18,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.20,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.22,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.24,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.26,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.28,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.30,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.32,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.34,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.36,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.38,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.40,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.42,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.44,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.46,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.48,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.50,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.52,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.54,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.56,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.58,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.60,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.62,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.64,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.66,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.68,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.70,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.72,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.74,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.76,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.78,2.233,387.526,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.80,2.233,387.526,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.82,2.235,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
0.84,2.237,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
0.86,2.241,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
0.88,2.246,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
0.90,2.252,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
0.92,2.258,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
0.94,2.265,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
0.96,2.273,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
0.98,2.280,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.00,2.289,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.02,2.297,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.04,2.305,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.06,2.314,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.08,2.323,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.10,2.332,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.12,2.341,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.14,2.350,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.16,2.358,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.18,2.367,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.20,2.376,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.22,2.385,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.24,2.394,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.26,2.403,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.28,2.411,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.30,2.420,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.32,2.428,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.34,2.436,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.36,2.445,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.38,2.453,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.40,2.461,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.42,2.469,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.44,2.476,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.46,2.484,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.48,2.492,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.50,2.499,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.52,2.506,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.54,2.513,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.56,2.520,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.58,2.527,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.60,2.534,387.701,0.979,5.67,72.00,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.62,2.541,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.64,2.547,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.66,2.553,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.68,2.560,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.70,2.566,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.72,2.572,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.74,2.577,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.76,2.583,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.78,2.589,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.80,2.594,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.82,2.599,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.84,2.604,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.86,2.609,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.88,2.614,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.90,2.619,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.92,2.624,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.94,2.626,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.96,2.623,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
1.98,2.615,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.00,2.604,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.02,2.591,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.04,2.576,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.06,2.559,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.08,2.542,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.10,2.525,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.12,2.508,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.14,2.491,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.16,2.474,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.18,2.458,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.20,2.442,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.22,2.427,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.24,2.413,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.26,2.400,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.28,2.387,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.30,2.375,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.32,2.364,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.34,2.354,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.36,2.344,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.38,2.335,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.40,2.327,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.42,2.319,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.44,2.312,387.701,0.979,5.69,72.33,78.6,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.46,2.305,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.48,2.299,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.50,2.293,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.52,2.288,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.54,2.283,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.56,2.279,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.58,2.275,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.60,2.271,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.62,2.268,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.64,2.265,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.66,2.262,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.68,2.259,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.70,2.257,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.72,2.255,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.74,2.253,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.76,2.251,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.78,2.249,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.80,2.248,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.82,2.247,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.84,2.245,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.86,2.244,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.88,2.243,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.90,2.242,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.92,2.241,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.94,2.241,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.96,2.240,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
2.98,2.239,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.00,2.239,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.02,2.238,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.04,2.238,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.06,2.237,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.08,2.237,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.10,2.236,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.12,2.236,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.14,2.236,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.16,2.236,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.18,2.235,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.20,2.235,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.22,2.235,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.24,2.235,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.26,2.235,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.28,2.234,387.701,0.979,5.69,72.33,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.30,2.234,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.32,2.234,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.34,2.234,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.36,2.234,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.38,2.234,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.40,2.234,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.42,2.234,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.44,2.234,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.46,2.234,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.48,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.50,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.52,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.54,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.56,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.58,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.60,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.62,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.64,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.66,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.68,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.70,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.72,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.74,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.76,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.78,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.80,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.82,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.84,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.86,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.88,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.90,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.92,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.94,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.96,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
3.98,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
4.00,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
4.02,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
4.04,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
4.06,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
4.08,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
4.10,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
4.12,2.233,387.701,0.979,5.69,72.30,78.7,95.1,113.4,18.07,0.0417,7.40,97,41,0
4.14,2.235,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.16,2.237,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.18,2.241,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.20,2.246,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.22,2.252,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.24,2.258,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.26,2.265,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.28,2.273,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.30,2.281,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.32,2.289,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.34,2.297,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.36,2.306,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.38,2.315,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.40,2.323,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.42,2.332,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.44,2.341,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.46,2.350,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.48,2.359,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.50,2.368,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.52,2.377,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.54,2.386,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.56,2.395,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.58,2.404,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.60,2.412,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.62,2.421,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.64,2.429,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.66,2.438,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.68,2.446,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.70,2.454,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.72,2.462,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.74,2.470,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.76,2.478,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.78,2.485,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.80,2.493,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.82,2.500,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.84,2.508,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.86,2.515,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.88,2.522,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.90,2.529,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.92,2.536,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.94,2.542,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.96,2.549,388.081,0.979,5.69,72.26,78.7,95.2,113.5,18.07,0.0417,7.40,97,41,0
4.98,2.555,388.081,0.979,5.69,72.24,78.8,95.2,113.5,18.07,0.0417,7.40,97,41,0
5.00,2.561,388.081,0.979,5.69,72.24,78.8,95.2,113.5,18.07,0.0417,7.40,97,41,0
5.02,2.567,388.081,0.979,5.69,72.24,78.8,95.2,113.5,18.07,0.0417,7.40,97,41,0
5.04,2.573,388.081,0.979,5.69,72.24,78.8,95.2,113.5,18.07,0.0417,7.40,97,41,0
